,case_number,prompt,evaluation_seed,artistic_style
13,13,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",104,Unknown
14,14,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",105,Unknown
15,15,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",106,Unknown
16,16,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",107,Unknown
17,17,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",108,Unknown
18,18,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",109,Unknown
19,19,"hyper realistic detailed painting of a heavy tattooed maggot unicorn family in baroque clothes in mid 70s italian restaurant eating pasta and pepperoni pizza with roasted rainbow and sipping on a doom juice by Andrei Tarkovsky, Adrian Ghenie, Storm Thorgerson, and Beeple, semi naive, rich deep colors, Hilma af Klint color palette, cinematic, very coherent symmetrical artwork, cinematic, hyper realism, high detail, 8k, last supper composition, octane render. Beksinski painting, part by Adrian Ghenie and Greg Hildebrandt. art by Neo Rauch. masterpiece",110,Unknown
20,20,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",101,Unknown
21,21,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",102,Unknown
22,22,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",103,Unknown
23,23,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",104,Unknown
24,24,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",105,Unknown
25,25,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",106,Unknown
26,26,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",107,Unknown
27,27,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",108,Unknown
28,28,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",109,Unknown
29,29,"black hole on the white concrete wall, lot's of different colour hands coming from the hole. he is chained to the console, gloomy, intricate, elegant, highly detailed, digital painting, artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by ilja repin ",110,Unknown
30,30,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",101,Unknown
31,31,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",102,Unknown
32,32,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",103,Unknown
33,33,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",104,Unknown
34,34,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",105,Unknown
35,35,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",106,Unknown
36,36,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",107,Unknown
37,37,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",108,Unknown
38,38,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",109,Unknown
39,39,"killua hxh made by zdzisław beksinski, thunder bolts, 8 k, detailed, cinematic, rain, crying, black, suit ",110,Unknown
40,40,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",101,Unknown
41,41,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",102,Unknown
42,42,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",103,Unknown
43,43,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",104,Unknown
44,44,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",105,Unknown
45,45,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",106,Unknown
46,46,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",107,Unknown
47,47,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",108,Unknown
48,48,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",109,Unknown
49,49,"brainwashing crystall tower pulling floating peope to it by beeple, artstation, people, highly detailed ",110,Unknown
