,case_number,prompt,evaluation_seed,artistic_style
36,36,"a massive funny sculpture of a surreal distorted human face vomiting jelly on the ocean water, in the style of johnson tsang, funny sculpture, lucid dream series, cinematic, hyper - realistic, very detailed, realistic water splashes, ray tracing, 8 k resolution, long - shot, sharp focus, low angle, 8 5 mm photograph, wide lens ",107,Unknown
37,37,"a massive funny sculpture of a surreal distorted human face vomiting jelly on the ocean water, in the style of johnson tsang, funny sculpture, lucid dream series, cinematic, hyper - realistic, very detailed, realistic water splashes, ray tracing, 8 k resolution, long - shot, sharp focus, low angle, 8 5 mm photograph, wide lens ",108,Unknown
38,38,"a massive funny sculpture of a surreal distorted human face vomiting jelly on the ocean water, in the style of johnson tsang, funny sculpture, lucid dream series, cinematic, hyper - realistic, very detailed, realistic water splashes, ray tracing, 8 k resolution, long - shot, sharp focus, low angle, 8 5 mm photograph, wide lens ",109,Unknown
39,39,"a massive funny sculpture of a surreal distorted human face vomiting jelly on the ocean water, in the style of johnson tsang, funny sculpture, lucid dream series, cinematic, hyper - realistic, very detailed, realistic water splashes, ray tracing, 8 k resolution, long - shot, sharp focus, low angle, 8 5 mm photograph, wide lens ",110,Unknown
40,40,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",101,Unknown
41,41,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",102,Unknown
42,42,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",103,Unknown
43,43,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",104,Unknown
44,44,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",105,Unknown
45,45,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",106,Unknown
46,46,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",107,Unknown
47,47,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",108,Unknown
48,48,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",109,Unknown
49,49,"macro photo of a horrible looking girl with a scary mouth and creepy eyes, halloween theme style, grim and eerie dark room, cgsociety, trending on artstation, 4 k, 8 k ",110,Unknown
