,case_number,prompt,evaluation_seed,artistic_style
40,40,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",101,Unknown
41,41,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",102,Unknown
42,42,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",103,Unknown
43,43,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",104,Unknown
44,44,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",105,Unknown
45,45,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",106,Unknown
46,46,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",107,Unknown
47,47,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",108,Unknown
48,48,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",109,Unknown
49,49,"an sketch art of a cute girl with fox ears wearing kimono at a sakura tree by hiromu arakawa, manga, black and white, oc commission, face sketch, pencil sketch, high quality, highly detailed, long hair, illustration, pinterest ",110,Unknown
