,case_number,prompt,evaluation_seed,artistic_style
28,28,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",109,Unknown
29,29,"a highly detailed epic cinematic concept art CG render digital painting artwork: dieselpunk Soviet 1980s police patrol car. By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, precise correct anatomy, aesthetic, very inspirational, arthouse",110,Unknown
30,30,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",101,Unknown
31,31,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",102,Unknown
32,32,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",103,Unknown
33,33,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",104,Unknown
34,34,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",105,Unknown
35,35,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",106,Unknown
36,36,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",107,Unknown
37,37,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",108,Unknown
38,38,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",109,Unknown
39,39,"a colorful vibrant closeup portrait of a queen licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation ",110,Unknown
40,40,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",101,Unknown
41,41,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",102,Unknown
42,42,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",103,Unknown
43,43,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",104,Unknown
44,44,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",105,Unknown
45,45,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",106,Unknown
46,46,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",107,Unknown
47,47,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",108,Unknown
48,48,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",109,Unknown
49,49,"subway cabin inside all in graffiti, man in stussy jacket closeup writing graffiti, night, film photography, exposed b & w photography, christopher morris photography ",110,Unknown
